,ft_hash,topic,livefyre_id
92,24cfe955-4ca1-3c03-901d-ee6e25fd9ce2,Russia,MjRjZmU5NTUtNGNhMS0zYzAzLTkwMWQtZWU2ZTI1ZmQ5Y2Uy
93,bb19f93a-80e8-11e6-8e50-8ec15fb462f4,Russia,YmIxOWY5M2EtODBlOC0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
94,93fec75c-80c2-11e6-bc52-0c7211ef3198,Russia,OTNmZWM3NWMtODBjMi0xMWU2LWJjNTItMGM3MjExZWYzMTk4
95,917b24b8-80ad-11e6-8e50-8ec15fb462f4,Russia,OTE3YjI0YjgtODBhZC0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
96,838697f4-80ab-11e6-bc52-0c7211ef3198,Russia,ODM4Njk3ZjQtODBhYi0xMWU2LWJjNTItMGM3MjExZWYzMTk4
97,2b9abf2a-8006-11e6-8e50-8ec15fb462f4,Russia,MmI5YWJmMmEtODAwNi0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
98,7f11f610-7a8d-11e6-b837-eb4b4333ee43,Russia,N2YxMWY2MTAtN2E4ZC0xMWU2LWI4MzctZWI0YjQzMzNlZTQz
99,65f7eb26-bcfa-3e50-827f-cb1e322944bb,Russia,NjVmN2ViMjYtYmNmYS0zZTUwLTgyN2YtY2IxZTMyMjk0NGJi
100,6fa88d26-e55e-365d-98e5-f3d2d201f3e5,Russia,NmZhODhkMjYtZTU1ZS0zNjVkLTk4ZTUtZjNkMmQyMDFmM2U1
101,3f16e476-7e5c-11e6-8e50-8ec15fb462f4,Russia,M2YxNmU0NzYtN2U1Yy0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
102,b413c130-8065-11e6-8e50-8ec15fb462f4,Russia,YjQxM2MxMzAtODA2NS0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
103,5ea87186-7fe4-11e6-8e50-8ec15fb462f4,Russia,NWVhODcxODYtN2ZlNC0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
104,01574a32-77f2-36e5-90fb-74b86442fea0,Russia,MDE1NzRhMzItNzdmMi0zNmU1LTkwZmItNzRiODY0NDJmZWEw
105,d70c58e7-81ba-36cd-a106-f38a67541c96,Russia,ZDcwYzU4ZTctODFiYS0zNmNkLWExMDYtZjM4YTY3NTQxYzk2
106,0ec1566a-7e68-11e6-bc52-0c7211ef3198,Russia,MGVjMTU2NmEtN2U2OC0xMWU2LWJjNTItMGM3MjExZWYzMTk4
107,998f6398-8018-11e6-8e50-8ec15fb462f4,Russia,OTk4ZjYzOTgtODAxOC0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
108,be4b7f98-8011-11e6-8e50-8ec15fb462f4,Russia,YmU0YjdmOTgtODAxMS0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
109,6bbda985-718b-3173-b064-66c5000e1b42,Russia,NmJiZGE5ODUtNzE4Yi0zMTczLWIwNjQtNjZjNTAwMGUxYjQy
110,15ee4d50-7f4c-11e6-8e50-8ec15fb462f4,Russia,MTVlZTRkNTAtN2Y0Yy0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
111,8d179438-7fe0-11e6-bc52-0c7211ef3198,Russia,OGQxNzk0MzgtN2ZlMC0xMWU2LWJjNTItMGM3MjExZWYzMTk4
113,10af6ea2-7eeb-11e6-bc52-0c7211ef3198,Russia,MTBhZjZlYTItN2VlYi0xMWU2LWJjNTItMGM3MjExZWYzMTk4
114,621979d6-5b3f-3c97-bf9f-3d89dd22b1f,Russia,NjIxOTc5ZDYtNWIzZi0zYzk3LWJmOWYtM2Q4OWRkMjJiMWY.
115,5f15cfa-7f32-11e6-8e50-8ec15fb462f4,Russia,NWYxNWNmYS03ZjMyLTExZTYtOGU1MC04ZWMxNWZiNDYyZjQ.
116,34e7d1da-7f1b-11e6-8e50-8ec15fb462f4,Russia,MzRlN2QxZGEtN2YxYi0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
117,f7edfe1c-7998-11e6-97ae-647294649b28,Russia,ZjdlZGZlMWMtNzk5OC0xMWU2LTk3YWUtNjQ3Mjk0NjQ5YjI4
118,0c1ed60-7f20-11e6-bc52-0c7211ef3198,Russia,MGMxZWQ2MC03ZjIwLTExZTYtYmM1Mi0wYzcyMTFlZjMxOTg.
119,3c0310b-5c24-39a9-ae23-00f16407cfc4,Russia,M2MwMzEwYi01YzI0LTM5YTktYWUyMy0wMGYxNjQwN2NmYzQ.
120,052c0c50-7f24-11e6-bc52-0c7211ef3198,Russia,MDUyYzBjNTAtN2YyNC0xMWU2LWJjNTItMGM3MjExZWYzMTk4
121,9fc1aed6-7f20-11e6-8e50-8ec15fb462f4,Russia,OWZjMWFlZDYtN2YyMC0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
122,4b492188-4a53-39cd-b6d0-ec29f3c35507,Russia,NGI0OTIxODgtNGE1My0zOWNkLWI2ZDAtZWMyOWYzYzM1NTA3
